opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
,getExtraInfo_call,,0.0010521399544261092,0.001169044393806788,0.001169044393806788,234
const/4_freq,,,0.001022924353986166,0.0011365826155401845,0.0011365826155401845,235
,setAccessible_call,,0.0010065059631819686,0.0011183399590910764,0.0011183399590910764,236
,connect_call,,0.0009744405827019131,0.0010827117585576814,0.0010827117585576814,237
,setPriority_call,,0.0009723928093751282,0.0010804364548612536,0.0010804364548612536,238
aget-char_freq,,,0.0009621335460027973,0.0010690372733364417,0.0010690372733364417,239
if-ltz_freq,,,0.0009570769925919651,0.001063418880657739,0.001063418880657739,240
,stopListening_call,,0.0009517927238520143,0.0010575474709466825,0.0010575474709466825,241
,DexFile_call,,0.0009472238102593325,0.0010524709002881472,0.0010524709002881472,242
neg-float_freq,,,0.0009354599221966841,0.0010393999135518712,0.0010393999135518712,243
,getDisplayName_call,,0.0009165252175133498,0.001018361352792611,0.001018361352792611,244
,clearSearches_call,,0.0009131331848287133,0.0010145924275874593,0.0010145924275874593,245
,onException_call,,0.0009125849619214793,0.001013983291023866,0.001013983291023866,246
,callActivityOnPostCreate_call,,0.000903982967554553,0.001004425519505059,0.001004425519505059,247
cmpl-float_freq,,,0.0009015725693647268,0.001001747299294141,0.001001747299294141,248
,onConfigurationChanged_call,,0.0008987931734939799,0.0009986590816599777,0.0009986590816599777,249
,createFromPdu_call,,0.0008820302526098782,0.000980033614010976,0.000980033614010976,250
,printStackTrace_call,,0.0008811901497954122,0.000979100166439347,0.000979100166439347,251
,getLayoutInflater_call,,0.0008793392587417303,0.0009770436208241448,0.0009770436208241448,252
shl-long_freq,,,0.0008751021088579149,0.0009723356765087944,0.0009723356765087944,253
rem-int_freq,,,0.0008734418213127312,0.0009704909125697014,0.0009704909125697014,254
add-float/2addr_freq,,,0.0008728396261699986,0.0009698218068555541,0.0009698218068555541,255
div-float/2addr_freq,,,0.0008613670202386605,0.0009570744669318451,0.0009570744669318451,256
add-double/2addr_freq,,,0.000858883362517056,0.0009543148472411734,0.0009543148472411734,257
,getInstance_call,,0.000847463276544909,0.0009416258628276767,0.0009416258628276767,258
,cancel_call,,0.0008373837048357688,0.0009304263387064099,0.0009304263387064099,259
const-class_freq,,,0.0008356780574274424,0.0009285311749193805,0.0009285311749193805,260
,getByName_call,,0.0008337137602991638,0.0009263486225546265,0.0009263486225546265,261
int-to-short_freq,,,0.0008253416939202883,0.000917046326578098,0.000917046326578098,262
return-wide_freq,,,0.0008129406750138793,0.0009032674166820881,0.0009032674166820881,263
